Semana,Socio,Concepto,Monto
2026-07-13,GON,CORRUGADO,13500
2026-07-13,GON,VICTOR PEGADO CORRUGADO,35000
2026-07-13,GON,VICTOR CRAYOLA,10000
2026-07-20,ROB,PORTABANNER 200X200,60000
2026-07-20,ROB,SOLDAR LONA ALPARGATA,20000
2026-07-20,ROB,BOILLAT BASTIDOR MEZA,100000
2026-07-20,GON,YERBA,3000
2026-07-27,ROB,CUENTA CHEQUES,27000
2026-07-27,GON,CORRUGADO 2X1 X2,26970
2026-07-27,GON,VICTOR PEGADO SHORT,30000
2026-07-27,GON,AGUA BIDON,24000
2026-07-27,GON,BOILLAT C/LONA MQ,20000
2026-07-27,GON,LILI,25000
2026-07-27,GON,TRANSPORTE LIDER,29000
2026-08-03,ROB,ARREGLO NOTEBOOK,45000
2026-08-03,ROB,SALDO CTA BCO,21300
2026-08-03,ROB,MOTOMANDADO,6000
2026-08-03,ROB,VICTOR,50000
2026-08-03,ROB,PAGO CHEQUE 04-08,104500
2026-08-03,GON,PERSONAL OFICINA,23400
2026-08-03,GON,YERBA - PAPEL ROLLO,6300
2026-08-03,GON,PAGO CHEQUE 04-08,104500
2026-08-10,ROB,CH MAZZONI 11/08,240700
2026-08-10,ROB,ATP RENTAS,50000
2026-08-10,ROB,LIBRERIA Y SELLADO,14000
2026-08-10,GON,CH MAZZONI 11/08,240700
2026-08-10,GON,LILI,25000
2026-08-10,GON,LIDER TRANSPORTE,55200
2026-08-10,GON,AGUA ,2000
2026-08-10,GON,LIDER TRANSPORTE,23350
2026-08-10,GON,LIQUIDO P PISO,4500
2026-08-10,GON,CORTE PASTO,10000
2026-08-17,ROB,YERBA ,3800
2026-08-17,ROB,GUILLE BOILLAT CARTEL AXEL,125000
2026-08-17,ROB,MULLER,168000
2026-08-17,ROB,MONOTRIBUTO,88656
2026-08-17,GON,YERBA,3800
2026-08-17,GON,MONOTRIBUTO ,121152
2026-08-24,ROB,CHEQUE MAZZONI 25/08,160276
2026-08-24,ROB,BOILLAT LO DE NORMI,50000
2026-08-24,GON,CHEQUE MAZZONI 25/08,160276
2026-08-24,GON,PLASTICO CORRUGADO DIAZ INMO,12500
2026-08-24,GON,BOILLAT CORRUGADO DIAZ INMO,25000
